movieID,MovieName,MovieYear,vis_x,vis_y,estimate_type,Genres,rating_count,ratings
1,Toy Story ,1995.0,1.3954681999999998,-24.177104999999997,0,Adventure|Animation|Children|Comedy|Fantasy,49695.0,3.921239561324077
2,Jumanji ,1995.0,0.18039802,-24.878104999999998,2,Adventure|Children|Fantasy,22243.0,3.2119768016904193
3,Grumpier Old Men ,1995.0,0.04694433,-24.935205,2,Comedy|Romance,12735.0,3.1510404397330194
4,Waiting to Exhale ,1995.0,-0.07766988,-24.375025,2,Comedy|Drama|Romance,2756.0,2.8613933236574747
5,Father of the Bride Part II ,1995.0,0.14009000000000002,-24.964985000000002,2,Comedy,12161.0,3.064591727653976
6,Heat ,1995.0,3.99131,-21.878397,0,Action|Crime|Thriller,23899.0,3.8349303318130468
7,Sabrina ,1995.0,0.38794872,-24.790537,2,Comedy|Romance,12961.0,3.3664840675873777
8,Tom and Huck ,1995.0,-0.072727695,-24.392504000000002,2,Adventure|Children,1415.0,3.142049469964664
9,Sudden Death ,1995.0,-0.013009483,-24.975819,2,Action,3960.0,3.0049242424242424
10,GoldenEye ,1995.0,0.349306,-24.398716,2,Action|Adventure|Thriller,29005.0,3.430029305292191
11,"American President, The ",1995.0,0.5791093,-24.694403,2,Comedy|Drama|Romance,18162.0,3.667712806959586
12,Dracula: Dead and Loving It ,1995.0,-0.49435344,-24.536003,2,Comedy|Horror,3845.0,2.6197659297789335
13,Balto ,1995.0,0.009432596,-23.733742000000003,2,Adventure|Animation|Children,1461.0,3.272416153319644
14,Nixon ,1995.0,4.423305,-21.756485,0,Drama,6022.0,3.432082364662903
15,Cutthroat Island ,1995.0,-0.1887604,-24.902906,2,Action|Adventure|Romance,2910.0,2.7219931271477664
16,Casino ,1995.0,4.040551,-21.795872,0,Crime|Drama,17394.0,3.7874554444061173
17,Sense and Sensibility ,1995.0,4.816543,-21.906105,0,Drama|Romance,20667.0,3.9685730875308463
18,Four Rooms ,1995.0,2.251738,-22.204857,2,Comedy,5203.0,3.3736305977320775
19,Ace Ventura: When Nature Calls ,1995.0,-0.6137866999999999,-24.13961,2,Comedy,20938.0,2.6074123603018435
20,Money Train ,1995.0,-0.13248189,-24.936438,2,Action|Comedy|Crime|Drama|Thriller,4084.0,2.8807541625857005
21,Get Shorty ,1995.0,4.8497667,-21.686764,0,Comedy|Crime|Thriller,24116.0,3.581688505556477
22,Copycat ,1995.0,0.24851586,-24.715673000000002,2,Crime|Drama|Horror|Mystery|Thriller,9928.0,3.319399677679291
23,Assassins ,1995.0,-0.135793,-24.839745,2,Action|Crime|Thriller,4250.0,3.1482352941176472
24,Powder ,1995.0,0.11198958,-24.651157,2,Drama|Sci-Fi,7971.0,3.199849454271735
25,Leaving Las Vegas ,1995.0,5.023708,-21.409470000000002,0,Drama|Romance,21553.0,3.689509581032803
26,Othello ,1995.0,4.1869426,-21.815720000000002,0,Drama,2755.0,3.628856624319419
27,Now and Then ,1995.0,0.10790673,-24.390964999999998,2,Children|Drama,1642.0,3.413520097442144
28,Persuasion ,1995.0,4.6699014000000005,-21.155707999999997,0,Drama|Romance,3154.0,4.057545973367152
29,"City of Lost Children, The (Cité des enfants perdus, La) ",1995.0,4.688234,-20.507217,0,Adventure|Drama|Fantasy|Mystery|Sci-Fi,8520.0,3.952230046948357
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995.0,4.1794896,-20.748625,0,Crime|Drama,1281.0,3.633879781420765
31,Dangerous Minds ,1995.0,0.22214425,-24.8101,2,Drama,9435.0,3.250344462109168
32,Twelve Monkeys (a.k.a. 12 Monkeys) ,1995.0,4.258015,-21.752077,0,Mystery|Sci-Fi|Thriller,44980.0,3.8980546909737663
33,Wings of Courage ,1995.0,-4.9018526,-19.029884,3,Adventure|Romance|IMAX,65.0,3.0076923076923077
34,Babe ,1995.0,5.245953599999999,-21.611470999999998,0,Children|Drama,32255.0,3.6430940939389242
35,Carrington ,1995.0,4.137654,-21.668098,0,Drama|Romance,1493.0,3.5016744809109177
36,Dead Man Walking ,1995.0,4.9116106,-21.73667,0,Crime|Drama,20809.0,3.9427170935652844
